IDX,KOR,ENG
1,여기쯤인가~,N
2,빠르게 움직이는 동물이라면 물고기인가? 아니면 새?,N
3,"어찌되었든 그 정도로 빠르게 움직인다면 쉽게 눈에 띌 테니까, 찾기 어렵지는 않을 것 같아.",N
4,너는 누구냐!!!,N
5,?,N
6,이야~ 귀엽네,N
7,꼬마 아가씨는 이름이 뭐야?,N
8,꼬마라고 하지 마! 그리고 내가 먼저 물어봤으니까 내 질문에 먼저 대답해야지!,N
9,하지만 남의 이름을 묻기 전에는 자신의 이름을 밝히는 게 기본 상식인 걸?,N
10,"그래서, 친구는 이름이 뭐야?",N
11,"으우우… 나는 플러이, 도롱뇽의 마녀 플러이야!",N
12,"나는 장미의 마녀, 에피라고 해. 만나서 반가워.",N
13,"흥, 드디어 이름을 밝히는군! 이곳에는 무슨 일로 온거지? 여기는 내 나와바리라고!",N
14,(꼬맹이가 저런 단어는 어디서 배운거야…),N
15,언니는 잃어버린 구슬을 찾으려고 여기로 왔어.,N
16,"구슬을 찾으러? 그러니까, 보물찾기를 하려고 왔다는 말이야?",N
17,음 그렇다고 할 수 있지.,N
18,"대충 이정도 크기인데, 위험한 마력이 담겨서 동물들이 삼키면 흉포하게 변할 수가 있거든.",N
19,아무래도 어떤 새가 구슬을 삼킨 것 같아서 구슬을 되찾으러 온거야.,N
20,(큰 소리로) 새?!,N
21,응. 혹시 짐작가는 곳이라도 있어?,N
22,너가… 너가 범인이었구나!,N
23,너가… 너 때문에 그렇게 된 거였어!,N
24,(큰 소리로) 이 악당!,N
25,"악당이라니, 그게 갑자기 무슨소리야?",N
26,일단 따라가봐야겠어!,N
