IDX,KOR,ENG
1,"우선 정식으로 자기소개를 다시 하도록 할까요, 저는 치유의 마녀, 아리엘이라고 합니다.",N
2,"저는 장미의 마녀, 에피에요.",N
3,"이럴 수가, 무언가 끌리는 느낌이 있더니 그대도 마녀셨군요!",N
4,더더욱 믿음직스러워지는데요!,N
5,(꼬르륵),N
6,"어머, 시장하셨나보군요. 이거라도 드시겠어요?",N
7,앗 쿠키… 그럼 사양하지 않고 잘 먹겠습니다.,N
8,(냠냠),N
9,"그래서, 무엇을 도와드리면 되는 거죠?",N
10,사실 제가 귀중한 구슬을 하나 잃어버렸습니다. 혹시 그 구슬을 되찾는 것을 도와주실 수 있을까요?,N
11,잃어버린 물건 찾기인가요. 혹시 마지막으로 가지고 있었던 걸 확인한 곳이 어디죠?,N
12,사실 물건이 어디에 있는지는 알고 있습니다만…,N
13,음? 그럼 그냥 그 구슬을 찾으러 가면 되는 게 아닌가요?,N
14,실은… 그 구슬을 커다란 곰이 삼켜버린지라… 저는 싸움을 못하거든요.,N
15,아.,N
16,어… 갑자기 급한 일이 생각난 것 같은데…,N
17,어라? 설마 마녀의 이름을 대신 분께서 곤경에 처한 이의 부탁을 받고도 못 본체 떠나버리려고 하시는 건 아니겠죠?,N
18,몇날 며칠 정처없이 숲을 떠돌다가 겨우 마주친 분께서 도와주셨으면 좋겠다만~ 저희의 인연은 여기까지였던 걸까요-,N
19,여기서 구슬을 되찾지 못하면 영영 잃어버릴지도- 흑흑,N
20,(눈치),N
21,…,N
22,제가 뭘 도와드리면 될까요…?,N
23,걱정 마세요! 제가 응원해드릴테니까요!,N
24,(뭔가 단단히 잘못된 느낌…),N
