IDX,KOR,ENG
1,오셨군요. 기다리고 있었답니다.,N
2,"여기, 마지막 구슬이에요.",N
3,"후후훗… 드디어, 구슬을 모두 모았어요",N
4,이 구슬들만 있다면…,N
5,(불길한 느낌…),N
6,저기… 아리엘 씨?,N
7,"그 동안 수고 많았어요, 에피 양.",N
8,그거 아세요? 사실 이 구슬은 원래부터 방대한 마력을 지니고 있던 게 아니랍니다.,N
9,이 구슬의 역할은 구슬을 삼킨 자에게 마력을 부여하는 것이 아닌 오히려 삼킨 자의 마력을 빼앗는 것…,N
10,이것으로 숲에 있던 영물들의 강대한 마력을 가져올 수 있었어요. 이게 다 에피 씨 덕분이랍니다.,N
11,… 저를 속인 거군요?,N
12,어째서죠? 아리엘 씨라면 충분히 강한 마력을 지니고 있잖아요. 저도 나름 마녀니까 알 수 있다구요.,N
13,에피 양.,N
14,저는 치유의 힘을 가지게 된 순간 세상을 돌아다니면서 많은 이들을 치유하는 것이 제 사명인 것을 깨달았어요.,N
15,그러나 생명은 어리석기에 싸우고 죽이는 것을 멈추지 않죠.,N
16,오로지 삶과 죽음의 순환을 끊어내는 것! 그것만이 이 비극을 끝낼 길입니다!,N
17,"하지만, 새 생명이 계속 태어날 거잖아요! 이 숲이 꽉 차버리면 어떻게 해요?",N
18,불임은 영생에 있어 사소한 부작용일 뿐이에요.,N
19,…,N
20,저는 이 계획에 반대에요.,N
21,"누구보다 꽃을 좋아하지만, 꽃이 영원하길 바라지 않아요. 꽃이 져야 달콤한 열매가 열리는 법이거든요.",N
22,에피 양이라면 저의 생각을 이해해줄 줄 알았는데.,N
23,하지만 괜찮아요. 더 이상 에피 양의 의견은 상관이 없답니다.,N
24,구슬 3개는 이미 저에게 있거든요.,N
