IDX,KOR,ENG
1,"플러이, 도대체 무슨 일이야?",N
2,언제 따라온거지? 저리가! 악당이랑은 말 안해!,N
3,"내 소중한 아지트도 부숴놓고, 이제 나한테 해코지하려고 온 거지?",N
4,나는 악당이 아냐. 그리고 너를 해코지할 생각도 없고.,N
5,그리고 아지트를 부순 것도 나는 모르는 일이야.,N
6,……,N
7,…정말?,N
8,진짜야. 언니가 플러이를 절대 해코지하지 않을 거라고 약속할게. ,N
9,그러니까 진정하고 무슨 일이 있었는지 알려줄래?,N
10,훌쩍… 알았어.,N
11,내가 아지트에서 옛날에 잡아놓은 물고기를 구워서 먹으려고 하고 있었는데,N
12,"위에서 커다란 그림자가 드리워지더니, 하늘에서 커다란 새가 내려오는거야.",N
13,내가 깜짝 놀라서 아지트 밖으로 나갔다가 그 새랑 눈이 마주쳤는데,N
14,새가 갑자기 나를 보고 큰 소리를 지르더니…,N
15,근처에 커다란 바위를 들고 아지트로 던져서 내 이자트를 박살내버렸어!,N
16,게다가 부순 아지트를 뒤지더니 내가 모아놓은 생선도 다 가져가버렸고!,N
17,내가… 내가 엄청 열심히 모아놓은 건데… 훌쩍,N
18,걱정하지 마. 언니가 그 못된 새를 혼쭐내줄게.,N
19,"그러니까, 플러이? 그 새가 어느 방향으로 날아갔는지 알려줄 수 있을까?",N
20,훌쩍… 알았어. 내가 안내해줄게.,N
21,이쪽이야.,N
