IDX,KOR,ENG
1,해치웠나?,N
2,후… 후… 정말 큰일날 뻔했어.,N
3,저 커다란 곰을 쓰러뜨릴 줄이야,N
4,덕분에 구슬을 찾을 수 있었어요. 정말 감사합니다!,N
5,"우으, 이럴 줄 알았으면, 도와준다고 하지 않는건데…",N
6,"후훗, 그런 의미에서 보답으로 차라도 대접하고 싶은데 괜찮으실까요?",N
7,"아뇨, 괜찮아요. 이제 슬슬 가봐야할 것 같아서…",N
8,"그러지 말고, 위험한 부탁을 들어주신 만큼 보답을 해야할 것 같아서 그러는 거니까요. 차라도 한잔하죠.",N
9,(빤-히),N
10,(부담스러운 눈빛…),N
11,그럼 그렇게 할까요? 보답으로 대접해주신다고 하는데 너무 거절하는 것도 예의가 아닌 것 같고.,N
12,"어머, 좋네요. 그럼 지금 제가 거처하고 있는 곳으로 함께 가실까요? 아무래도 찻잔을 매번 들고다니지는 않아서요.",N
13,"요 가까이 있으니까, 부디 와주시면 감사하겠어요.",N
14,그럼 저는 먼저 가서 잔을 데우고 있을게요.,N
15,"우와아, 피곤한 사람이야.",N
16,"그래도 뭐, 대접받는 거니까, 한 번 가볼까?",N
