IDX,KOR,ENG
1,저기 이름이 코우요라고 했었나?,N
2,그래서 나는 왜 따라오라고 한거야?,N
3,저기요? 사람이 말을 하면 좀 들어야-,N
4,그 늑대는 원래 자기 영역에 들어오지만 않으면 딱히 문제를 일으키지 않는 녀석이었어.,N
5,근데 갑자기 저렇게 날뛰다니. 절대로 이상해. 분명 무언가 잘못 먹은 거야.,N
6,(잘못 먹었다니… 설마 구슬을 삼켰나?),N
7,뭐가 어찌되었든 저렇게 날뛰는 녀석을 가만히 둘 수는 없어.,N
8,"흐흐후훗 드디어, 이 녀석을 쓸 때가 온 거지.",N
9,‘이 녀석’이라면?,N
10,저기 저녀석 보여?,N
11,우와 저건…?,N
12,그 늑대는 원래 가죽이 두꺼운 종인데다가 강력한 개체라서 맨몸으로 상대하기는 어려울 거야.,N
13,"그래서 준비한, 코우요 특제 고정포대식 전천후 관통병기! 줄여서 54식 기계창이야.",N
14,오…! 뭔가 멋져!,N
15,"그야, 내가 신경써서 제작한 마스터피스니까.",N
16,"자, 나는 저 녀석의 발사를 준비하고 있을 테니, 너는 늑대를 찾아서 저기 공터로 유인해와.",N
17,엩 저요?,N
18,응. 그럼 여기에 너 말고 누가 더 있어? ,N
19,"나는 54식 기계창의 발사를 준비해야 하고, 손이 남는 사람은 너밖에 없잖아.",N
20,역시 이럴 줄 알았어!,N
