IDX,KOR,ENG
1,무사하셨군요! 혹시나 무슨 일이 생기는 건 아닐까 걱정했답니다.,N
2,(가라고 시킨 건 자기면서.),N
3,"여기, 구슬이에요.",N
4,커다란 새가 물고 있더라구요.,N
5,"어머나, 정말 수고 많으셨어요.",N
6,오자마자 죄송하지만 다음 구슬에 대해 이야기해도 괜찮을까요?,N
7,"그래요, 기왕 하는 거 빨리빨리 하는 게 서로 좋죠.",N
8,마지막 구슬은 말씀드렸듯이 북쪽 단풍산에 있을 거에요.,N
9,"다만, 에피 양이 동쪽 강에 다녀온 동안, 마력 반응에 움직임이 관찰되었어요.",N
10,그렇다는 것은?,N
11,"어떤 동물이 구슬을 삼켰거나, 아니면 산이니까 단지 구슬이 굴러떨어진 것일 수도 있어요.",N
12,흉포한 동물이랑 싸우는 건 이제 싫은데…,N
13,구슬이 그저 굴러떨어진 것이기를 기도해보죠.,N
14,으우우 알겠어요.,N
15,기왕 마지막까지 온 거 빨리 해치워버리죠!,N
16,"어머, 멋진 마음가짐이에요.",N
17,그럼 몸 조심히 다녀오세요~,N
18,구슬이 혼자 굴러서 이동했다라…,N
19,…,N
20,그럴리는 없겠지만요.,N
