IDX,KOR,ENG
1,후… 물리쳤다!,N
2,두번째는 그래도 첫번째보다는 괜찮았던 것 같기도 하고,N
3,우와아아아아앗!,N
4,우와아아!,N
5,언니! 정말 대단해!,N
6,엣헴! 언니만 믿으라고 했지?,N
7,응응! 정말 멋져!,N
8,이제 더 이상 아지트가 부서지지 않아도 될 거야!,N
9,근데 이미 부서져버린 아지트는 새로 지어야 해. 벌서 100번 넘게 지었지만 매번 귀찮다니깐.,N
10,엥 그럼 벌써 백번 넘게 아지트를 손수 만든거야? 꼬마 아가씨 대단하네~,N
11,나! 꼬마! 아니라구!,N
12,나 120살이나 먹었단 말이야…,N
13,(엥),N
14,(도롱뇽은 나이 감각이 사람이랑 다른가?),N
15,그러는 언니는 나이가 몇살인데 그렇게 잘난척이야?,N
16,"어, 나?",N
17,나는… 어… 123살이야!,N
18,"뭐야, 나랑 별로 차이도 안나잖아!",N
19,나이 차이가 얼마 나지 않더라도 언니는 언니인 거라고!,N
20,"앗, 저건!",N
21,이게 언니가 찾던 그 구슬이야?,N
22,응. 이 구슬이 바로 내가 찾던 그 구슬이야.,N
23,그럼 구슬도 찾았으니까 이제 가야겠네?,N
24,그렇지. 그래도 플러이 보게 종종 놀러올테니깐. 너무 속상해하지 마.,N
25,진짜? 꼭 놀러오는거야! 약속!,N
26,"응, 약속.",N
27,이제 슬슬 가볼게.,N
28,"플러이, 다음에 보자!",N
29,"응, 언니 잘가~!",N
